one,two,three,four,five
1,一再,yī zài,"1. repeatedly
",14
2,一切,yī qiè,"1. everything
2. every
3. all
",14
3,一律,yī lǜ,"1. same
2. uniformly
3. all
4. without exception
",14
4,一旦,yī dàn,"1. in case (sth happens)
2. if
3. once (sth happens, then...)
4. when
5. in a short time
6. in one day
",14
5,一致,yī zhì,"1. unanimous
2. identical (views or opinions)
",14
6,丁,dīng,"1. surname Ding
2. fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]
3. fourth in order
4. letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc
5. ancient Chinese compass point: 195°
6. butyl
7. cubes (of food)
",1
7,万一,wàn yī,"1. just in case
2. if by any chance
3. contingency
",41
8,上当,shàng dàng,"1. taken in (by sb's deceit)
2. to be fooled
3. to be duped
",44
9,下载,xià zǎi,"1. to download
2. also pr. [xia4 zai4]
",43
10,不,bù,"1. (negative prefix)
2. not
3. no
",4
11,不免,bù miǎn,"1. inevitably
",43
12,不堪,bù kān,"1. cannot bear
2. cannot stand
3. utterly
4. extremely
",41
13,不如,bù rú,"1. not equal to
2. not as good as
3. inferior to
4. it would be better to
",42
14,不妨,bù fáng,"1. there is no harm in
2. might as well
",42
15,不安,bù ān,"1. unpeaceful
2. unstable
3. uneasy
4. disturbed
5. restless
6. worried
",41
16,不惜,bù xī,"1. not stint
2. not spare
3. not hesitate (to do sth)
4. not scruple (to do sth)
",41
17,不愧,bù kuì,"1. to be worthy of
2. to deserve to be called
3. to prove oneself to be
",44
18,不料,bù liào,"1. unexpectedly
2. to one's surprise
",44
19,不断,bù duàn,"1. unceasing
2. uninterrupted
3. continuous
4. constant
",44
20,不时,bù shí,"1. from time to time
2. now and then
3. occasionally
4. frequently
",42
21,不止,bù zhǐ,"1. incessantly
2. without end
3. more than
4. not limited to
",43
22,不然,bù rán,"1. not so
2. no
3. or else
4. otherwise
5. if not
6. How about ...?
",42
23,不禁,bù jīn,"1. can't help (doing sth)
2. can't refrain from
",41
24,不足,bù zú,"1. insufficient
2. lacking
3. deficiency
4. not enough
5. inadequate
6. not worth
7. cannot
8. should not
",42
25,不顾,bù gù,"1. in spite of
2. regardless of
",44
26,与,yǔ,"1. variant of 歟|欤[yu2]
2. and
3. to give
4. together with
5. to take part in
",3
27,与其,yǔ qí,"1. rather than...
2. 與其|与其[yu3 qi2] A 不如[bu4 ru2] B (rather than A, better to B)
",32
28,丑,chǒu,"1. surname Chou
2. clown
3. 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox
4. ancient Chinese compass point: 30°
5. shameful
6. ugly
7. disgraceful
",3
29,丑恶,chǒu è,"1. ugly
2. repulsive
",34
30,专业,zhuān yè,"1. specialty
2. specialized field
3. main field of study (at university)
4. major
5. CL:門|门[men2],個|个[ge4]
6. professional
",14
31,专家,zhuān jiā,"1. expert
2. specialist
3. CL:個|个[ge4]
",11
32,专心,zhuān xīn,"1. to concentrate
2. absorption
3. concentration
4. engrossed
",11
33,专门,zhuān mén,"1. specialist
2. specialized
3. customized
",12
34,世纪,shì jì,"1. century
2. CL:個|个[ge4]
",44
35,丙,bǐng,"1. third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]
2. third in order
3. letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc
4. ancient Chinese compass point: 165°
5. propyl
",3
36,业余,yè yú,"1. in one's spare time
2. outside working hours
3. amateur (historian etc)
",42
